45,Hope for Justice,HOPE FOR JUSTICE is a human rights organization helping to prevent human trafficking through effective and collaborative education and restoration programs.,,,,,,NULL,117 E. Louisa St. #544,,Seattle,WA,98102,NULL,Alex Sum,alex@hopeforjustice.org,Pending,NULL,http://hopeforjustice.org,http://www.facebook.com/hopeforseattle,http://twitter.com/#!/h4jnow,,,2011,27-5479255,,NULL,No,NULL,No,No,No,8,501(c)3,1,,0,20,5,10/19/11 14:23,9/11/12 23:41,We Choose to See - Restoring the Heart by Melissa Cordell-831KB-cropped.jpg,image/jpeg,72533,8/14/12 22:35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,,"New Horizons Foundation, Inc.",No,NULL,NULL,NULL,Yes,New Horizons Foundation IRS Determination Letter.pdf,62058,application/pdf,,0,,Seattle,1
48,Washington Engage,"Washington Engage seeks to eradicate sex and labor trafficking in Washington State by providing knowledge and tools that empower government, business, and grassroots leaders to take action.",3220 1st Avenue South - Suite #500,,Seattle,WA,98134,NULL,PO Box  4101,,Olympia,WA,98501,NULL,Rose Gundersen,Rose@waengage.com,360-561-7616,NULL,www.WAEngage.com,http://www.facebook.com/pages/Washington-Engage/272546529430133,@wa_engage,,,2011,45-2462582,,NULL,No,NULL,No,No,No,8,501(c)3,1,,0,25,5,10/26/11 20:55,3/9/12 6:24,WAE Logo half inch.jpg,image/jpeg,9188,3/8/12 22:56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,,,No,NULL,NULL,NULL,Yes,501c3 approval letter.pdf,1067975,application/pdf,,NULL,,Seattle,1
55,Scarlet Road,"Scarlet Road is dedicated to empowering victims of sexual exploitation and at risk populations by achieving positive change through relational investment and holistic care, serving as a central resource for prevention and support.",N/A,,N/A,,N/A,NULL,PO Box 1521 ,,Silverdale,WA,98383,NULL,Rosie Ludlow,pavingtheway@scarletroad.org,3608509718,NULL,www.scarletroad.org,http://www.facebook.com/pages/Scarlet-Road/154734714617014?sk=info,,,,2011,43-3703034,,NULL,No local task force exists,NULL,No,No,No,1,,3,,0,36,1,11/18/11 23:45,12/21/11 9:04,safe_image.php.jpg,image/jpeg,19347,11/18/11 23:45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,,,No coalition exists,NULL,NULL,NULL,No,NULL,NULL,NULL,,NULL,,Silverdale WA ,1
56,International Rescue Committee in Seattle,TBD,,,,,,NULL,100 South King Street suite 570,,Seattle,WA,98104,NULL,Refer to email address,seattle@rescue.org,206-623-2105,NULL,http://www.rescue.org/us-program/us-seattle-wa,http://www.facebook.com/#!/IRCSeattle,,,,1976,13-5660870  ,Washington Anti-Trafficking Response Network,NULL,No,NULL,No,No,No,3,501(c)(3),1,,0,32,2,11/28/11 23:18,3/7/12 0:56,IRC-Logo-New10.gif,image/gif,1965,11/28/11 23:18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,,,No,NULL,NULL,NULL,No,NULL,NULL,NULL,,NULL,,Seattle,1
57,W.A.R.N. - Washington Anti-Trafficking Response Network,"Victims of human trafficking in the United States are entitled to protection and assistance, regardless of their immigration status.",,,,,,NULL,P.O. Box 4548 ,,Seattle,WA,98194,NULL,See email address,warntrafficking@yahoo.com,206-245-0782,NULL,warn-trafficking.org,http://www.facebook.com/pages/WARN-Washington-Anti-Trafficking-Response-Network/115040105219651?ref=mf,,,,2004,13-5660870  ,International Rescue Committee in Seattle,NULL,No,NULL,No,No,No,3,501(c)(3),1,,0,32,4,11/28/11 23:27,3/1/12 7:24,warn_col_xl.jpg,image/jpeg,60510,11/28/11 23:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,,International Rescue Committee in Seattle,"Yes, with a R&R Coalition",Information pending.pdf,application/pdf,11871,Yes,Information pending.pdf,11871,application/pdf,,NULL,,"Seattle, Washington",0
58,Junior League of Seattle,"The Junior League of Seattle is an organization of women committed to promoting voluntarism, developing the potential of women and improving the community through the effective action and leadership of trained volunteers.",4119 E. Madison,,Seattle,WA,98112,NULL,4119 E. Madison ,,Seattle,WA,98112,NULL,Chris Lewis,chrisarace@gmail.com,206.324.0432 ,NULL,http://jrleagueseattle.org,http://www.facebook.com/group.php?gid=8668961809,http://twitter.com/jrleagueseattle,,http://jrleagueseattle.wordpress.com/,1924,xxxxxxxxxx,Association of Junior Leagues International,NULL,No,NULL,No,No,No,1,xxxxx,1,,0,45,9,11/30/11 2:21,3/25/12 19:20,jls_logo_vert_100x100_rgb.jpg,image/pjpeg,11884,1/19/12 17:54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,,,"Yes, with a R&R Coalition",PENDING.pdf,application/pdf,9945,Yes,PENDING.pdf,9945,application/pdf,,NULL,Empowerment of Women and Children,,0
62,Chab Dai USA,Christians working together to end sexual abuse and trafficking.,"101 Parkshore Drive, Ste 100",,Folsom,CA,95630,NULL,PO Box 6116,,Folsom,CA,95763,NULL,Joan Jarman,usa@chabdai.org,866-305-9800,NULL,http://chabdai.org,http://facebook.com/ilikechabdai,http://twitter.com/chabdai,http://youtube.com/chabdaicoalition,http://chabdai.blogspot.com,2008,26-4646578,,NULL,"Yes, with a taskforce",NULL,Yes,Yes,Yes,1,501c3,3,,0,4,8,12/4/11 7:15,11/20/12 21:06,CHABDAIlogo.png,image/png,13874,12/4/11 7:15,NULL,Terms of Reference.pdf,Chab Dai USA Media & Communication Policy1.pdf,Internal Child Protection Policy.pdf,Chab Dai Internal Staff Policy1.pdf,NULL,application/pdf,application/pdf,application/pdf,application/pdf,NULL,236340,560194,164878,225347,0,NULL,,,"Yes, with a R&R Coalition",Scope of Work Final.pdf,application/pdf,79855,Yes,501c3 Determination.PDF,28110,application/pdf,,0,,Sacramento,1
66,NightLight International,NightLight is an international organization committed to addressing the complex issues surrounding trafficking and prostitution by catalyzing individual and community transformation. ,,,,,,NULL,PO Box 74859,,Los Angeles,CA,90004,NULL,Courtney Dow,courtney@nightlightinternational.com,000-000-0000,NULL,www.nightlightinternational.com,,,,,2005,20-5572130,,NULL,No,NULL,No,No,No,1,,3,,0,48,3,12/4/11 23:20,1/31/12 3:58,logo.jpg,image/jpeg,5388,12/4/11 23:20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NightLight Ministry,,No,NULL,NULL,NULL,Yes,NightLight501c3.pdf,762293,application/pdf,,NULL,,,0
68,"REST, Real Escape from the Sex Trade",Bringing freedom and hope to people involved in the sex trade by offering them a real and lasting escape.,,,,,,NULL,24 Roy Street,,Seattle,WA,98109,NULL,Administrator,info@iwantrest.com,425-3954691,NULL,www.iwantrest.com,http://www.facebook.com/pages/REST-Real-Escape-from-the-Sex-Trade/124248787665303,http://twitter.com/#!/iwantrest,,,2009,45-3531020,,NULL,"Yes, with a law enforcement agency only",NULL,Yes,No,Yes,1,,3,,0,49,6,12/5/11 19:18,4/19/12 21:19,REST FB_white.jpg,image/jpeg,27496,4/18/12 17:19,NULL,Information pending.pdf,Information pending.pdf,NULL,Information pending.pdf,NULL,application/pdf,application/pdf,NULL,application/pdf,NULL,11871,11871,NULL,11871,0,NULL,None,,No,NULL,NULL,NULL,Yes,Information pending.pdf,11871,application/pdf,,NULL,,Seattle,0
72,Heaps of Handbags,Exercise your purchasing power and shoulder hope for those in need.,,,,WA,,NULL,12333 251st Ave SE ,,Monroe,WA,98272,NULL,Carrie Gendron,heapsofhandbags@comcast.net,425-319-3561,NULL,http://www.heapsofhandbags.com,http://www.facebook.com/heapsofhandbags,@heapsofhandbags,,,2008,UBI# 601697100,,NULL,No,NULL,No,No,No,6,,3,,0,50,3,12/8/11 17:39,12/21/11 10:14,Mini_Logo.jpg,image/jpeg,15344,12/8/11 17:39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,Heaps of Handbags,,No,NULL,NULL,NULL,No,NULL,NULL,NULL,,NULL,,"Seattle, Washington",1
73,Frontline for Justice,"Prevent, Protect, Restore",4906 215th St SE,,Woodinville,WA,98072,NULL,10301 NE 145th St,Kirkland,Kirkland,WA,98034,NULL,Paula Guest,guest485@gmail.com,425-485-7333,NULL,frontlineforjustice.org,Frontline for Justice,,,,2006,TBD,,NULL,No,NULL,No,No,No,1,,3,,0,51,5,12/9/11 17:32,3/25/12 2:20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,,,No,NULL,NULL,NULL,No,NULL,NULL,NULL,,NULL,,Seattle,0
78,Scarlet Road,"Scarlet Road is dedicated to empowering victims of sexual exploitation and at risk populations by achieving positive change through relational investment and holistic care, serving as a central resource for prevention and support.",N/A,,N/A,,N/A,NULL,PO Box 1521 ,,Silverdale,WA,98383,NULL,Rosie Ludlow,pavingtheway@scarletroad.org,3608509718,NULL,www.scarletroad.org,http://www.facebook.com/pages/Scarlet-Road/154734714617014?sk=info,,,,2011,43-3703034,,NULL,No local task force exists,NULL,No,No,No,1,,3,,1,36,1,11/18/11 23:45,12/21/11 9:04,safe_image.php.jpg,image/jpeg,19347,11/18/11 23:45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,55,,,No coalition exists,NULL,NULL,NULL,No,NULL,NULL,NULL,,NULL,,Silverdale WA ,1
85,Heaps of Handbags,Exercise your purchasing power and shoulder hope for those in need.,,,,WA,,NULL,12333 251st Ave SE ,,Monroe,WA,98272,NULL,Carrie Gendron,heapsofhandbags@comcast.net,425-319-3561,NULL,http://www.heapsofhandbags.com,http://www.facebook.com/heapsofhandbags,@heapsofhandbags,,,2008,UBI# 601697100,,NULL,No,NULL,No,No,No,6,,3,,1,50,3,12/8/11 17:39,12/21/11 10:14,Mini_Logo.jpg,image/jpeg,15344,12/8/11 17:39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,72,Heaps of Handbags,,No,NULL,NULL,NULL,No,NULL,NULL,NULL,,NULL,,"Seattle, Washington",1
